date,open,high,low,close,volume,vwap,Returns
09/18/2013 12:48:34,1696.75,1697.25,1695.5,1696,21008,1696.154251,0.002352941
09/18/2013 13:00:00,1696,1700,1695,1700,21017,1696.593068,0.003663004
09/18/2013 13:00:14,1700,1706.5,1698.5,1706.25,20930,1703.113043,0.001755156
09/18/2013 13:00:36,1706.25,1709.5,1705.25,1709.25,20874,1707.622844,0.001460494
09/18/2013 13:01:01,1709.25,1713,1708.75,1711.75,20825,1710.804274,-0.000584539
09/18/2013 13:01:25,1711.75,1712,1710,1710.75,20841,1710.989132,-0.000438596
09/18/2013 13:02:00,1710.75,1711,1708.75,1710,20836,1709.962205,0.001022346
09/18/2013 13:02:48,1710,1711.75,1710,1711.75,20808,1711.271758,-0.002929544
09/18/2013 13:04:03,1711.5,1712,1706.5,1706.75,20884,1709.36115,-0.000146499
09/18/2013 13:05:24,1706.75,1708.25,1706.25,1706.5,20861,1707.278115,0.001900863
09/18/2013 13:06:42,1706.5,1710,1706,1709.75,20884,1708.136013,-0.000438853
09/18/2013 13:08:03,1709.75,1710.5,1708.5,1709,20818,1709.43807,0.000438661
09/18/2013 13:09:38,1709,1710,1707.75,1709.75,20893,1708.746482,0.001314252
09/18/2013 13:10:43,1709.75,1712,1709.5,1712,20815,1710.963752,0.000729607
09/18/2013 13:11:30,1712,1714,1711.5,1713.25,20822,1712.705816,0.000874763
09/18/2013 13:12:06,1713.25,1715.5,1713.25,1714.75,20797,1714.501406,-0.000583516
09/18/2013 13:13:01,1714.75,1715.5,1713.5,1713.75,20783,1714.358165,-0.000437828
09/18/2013 13:14:29,1714,1714,1712.75,1713,20814,1713.30172,0.000729182
09/18/2013 13:15:59,1713,1714.25,1711.75,1714.25,20801,1712.82085,-0.001021898
09/18/2013 13:18:20,1714.25,1714.25,1712,1712.5,20806,1712.968254,0.000875146
09/18/2013 13:21:04,1712.5,1714,1712,1714,20815,1712.911026,0.001019962
09/18/2013 13:22:15,1714,1716,1713,1715.75,20784,1714.828799,0.000436936
09/18/2013 13:23:51,1715.75,1717,1715.25,1716.5,20755,1716.198073,-0.000437127
09/18/2013 13:26:38,1716.5,1717,1715.5,1715.75,20789,1716.325184,-0.000875018
09/18/2013 13:29:00,1715.75,1716.25,1713.75,1714.25,20782,1714.824283,-0.000291758
09/18/2013 13:31:56,1714.25,1714.75,1712.75,1713.75,20802,1713.767763,-0.000291843
09/18/2013 13:34:28,1713.75,1714.25,1712,1713.25,20776,1713.023067,0
09/18/2013 13:37:59,1713.25,1714.5,1713,1713.25,20767,1713.777134,0.000583345
09/18/2013 13:41:41,1713.25,1715.25,1712.5,1714.25,20861,1713.878829,0.000437318
09/18/2013 13:45:36,1714.25,1716,1714.25,1715,20783,1715.199394,0.000873871
09/18/2013 13:48:20,1715,1717.25,1714.75,1716.5,20762,1715.883357,0.000727696
09/18/2013 13:50:48,1716.5,1718.25,1715.25,1717.75,20769,1716.966537,0.001017738
09/18/2013 13:54:30,1717.75,1719.5,1717.5,1719.5,20742,1718.391476,0.00014537
09/18/2013 13:57:20,1719.5,1720,1718.5,1719.75,20732,1719.301056,0.001161609
09/18/2013 13:59:02,1719.75,1721.75,1719.75,1721.75,20715,1720.870951,0.000725479
09/18/2013 14:00:06,1721.75,1723,1721,1723,20692,1721.907017,-0.000726006
09/18/2013 14:01:49,1723,1723.25,1721.25,1721.75,20708,1721.930812,0.00014518
09/18/2013 14:04:46,1721.75,1723,1721.5,1722,20664,1722.394878,-0.000581058
09/18/2013 14:07:40,1722,1722.25,1720.25,1721,20738,1721.035502,-0.000581395
09/18/2013 14:11:54,1721,1721.5,1719.75,1720,20714,1720.617022,-0.000436237
09/18/2013 14:15:47,1720,1721,1719.25,1719.25,20730,1719.936843,-0.000581987
09/18/2013 14:19:15,1719.5,1720,1718,1718.25,20703,1718.970922,-0.000291078
09/18/2013 14:22:45,1718.25,1718.5,1717.5,1717.75,20782,1717.882711,0.000145518
09/18/2013 14:26:47,1717.75,1719,1717.75,1718,20742,1718.464528,-0.000582411
09/18/2013 14:29:37,1718,1718.75,1716.75,1717,20424,1717.775644,0.000291121
09/18/2013 14:31:49,1717,1718.5,1716.75,1717.5,21051,1717.736556,0.000145539
09/18/2013 14:35:19,1717.5,1718,1716.75,1717.75,20778,1717.370825,0.000872473
09/18/2013 14:39:27,1717.75,1719.25,1717,1719.25,20751,1718.018047,-0.000145433
09/18/2013 14:43:40,1719.25,1719.75,1718.75,1719,20733,1719.169368,-0.000290951
